duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,9.82577552111586,11.977469885155003,13.402078779253227,15.202075893511292,16.537416579059524,17.862897318595223,117.90930625339031,143.72963862186003,160.8249453510387,182.4249107221355,198.4489989487143,214.35476782314268
10,15.605643474713423,19.023040405834415,21.28565453175512,24.144473477929694,26.26530868438865,28.370483976592407,93.63386084828053,114.13824243500649,127.71392719053071,144.86684086757816,157.5918521063319,170.22290385955444
20,23.408465212070137,28.534560608751626,31.928481797632685,36.21671021689455,39.397963026582985,42.55572596488862,70.22539563621041,85.60368182625487,95.78544539289805,108.65013065068365,118.19388907974897,127.66717789466585
30,28.899339767987833,35.22785260339709,39.41787876250952,44.71198792209208,48.639460526645706,52.537933289986,57.798679535975666,70.45570520679418,78.83575752501903,89.42397584418417,97.27892105329141,105.075866579972
60,39.05316184863218,47.605206220806835,53.26740373312091,60.42160530012435,65.7290007116833,70.99720714862963,39.05316184863218,47.605206220806835,53.26740373312091,60.42160530012435,65.7290007116833,70.99720714862964
360,66.94827745479803,81.60892494995457,91.3155492567787,103.57989480021317,112.6782869343142,121.70949796907935,11.15804624246634,13.601487491659094,15.219258209463115,17.263315800035528,18.779714489052367,20.284916328179893
480,72.52730057603121,88.40966869578413,98.92517836151028,112.21155270023095,122.06814417884044,131.85195613316935,9.065912572003901,11.051208586973017,12.365647295188785,14.02644408752887,15.258518022355055,16.48149451664617
600,76.24664932351997,92.94349785967049,103.99826443133131,117.96599130024279,128.32804900852454,138.61359490922928,7.6246649323519975,9.294349785967048,10.399826443133131,11.796599130024278,12.832804900852455,13.861359490922926
720,79.03616088413656,96.34386973258526,107.80307898369708,122.28182025025167,133.02297763078764,143.68482399127427,6.586346740344714,8.028655811048772,8.98358991530809,10.190151687520972,11.08524813589897,11.97373533260619
1440,92.98371868721948,113.34572909715914,126.827151745526,143.86096500029612,156.49762074210312,169.04096940149918,3.8743216119674786,4.722738712381631,5.284464656063583,5.994206875012337,6.52073419758763,7.043373725062466
