P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
10.28678211204912,11.799817011851209,13.090544246041398,15.015971467685794,16.658498915501212,18.48069481984193,5
16.61866598156064,19.06302820721744,21.148244414255142,24.258841248111725,26.91240333618362,29.856226269084644,10
21.123862974408702,24.230873655764608,26.881376498673553,30.835233045277395,34.2081561189291,37.95002759793475,15
24.60107033610404,28.219527263213635,31.30633041770493,35.911032839781186,39.83917410228132,44.19699651171477,20
29.807935775694297,34.192246304334496,37.93237748253992,43.51167432565318,48.27121449487177,53.5513786799088,30
35.30147106548649,40.49380012958435,44.92322904281366,51.53077770217182,57.16749038274915,63.420776910261516,45
39.35596131768568,45.1446464808691,50.08280989749012,57.44925728887568,63.73336499090843,70.70486207749279,60
45.30577988726903,51.96959616970942,57.654309166422784,66.1344131428256,73.36854974637609,81.39399498807556,90
49.720827707533736,57.03403282348806,63.272721047808595,72.5792110762735,80.51831422322033,89.32583902759775,120
56.27672181385341,64.55420287871208,71.61548761332345,82.14907634350389,91.13498264981658,101.10381555421047,180
61.210061554812526,70.21316459934827,77.8934569001557,89.35044291117644,99.12407329345966,109.96679575561596,240
68.6385164181459,78.7342363118966,87.3466091113107,100.19401528024122,111.15377373201967,123.3123693098018,360
82.90814761099213,95.10272113719137,105.50556654522453,121.02388924006746,134.26213095795876,148.94844251463775,720
99.64527703824221,114.3016370269224,126.80456276509238,145.45565567518716,161.36637496501965,179.01749401548548,1440
