Year,Precipitation,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min,Max_1,Max_6,Max_8,Max_10,Max_12,Max_24
2006,2.6,0.2505694464,0.39796323840000003,0.515878272,0.5969448575999999,0.6706417536000001,0.7369689600000001,0.9959040000000001,1.7072640000000001,1.849536,1.9443840000000001,2.01552,2.3712
2007,520.6,50.171712998400004,79.68448535040001,103.29470323200002,119.5267280256,134.2831142016,147.56386176,199.41062400000004,341.846784,370.334016,389.325504,403.56912,474.7872
2008,1105.4,106.53056386560002,169.19560143360002,219.32763148800004,253.7934021504,285.1259209344,313.32518784000007,423.41241600000006,725.849856,786.337344,826.6623360000001,856.9060800000001,1008.1248
2009,2074.6,199.9351436544,317.5440516864,411.63117811200004,476.31607752959997,535.1205315456,588.04454016,794.6547840000001,1362.265344,1475.787456,1551.4688640000002,1608.22992,1892.0351999999998
2010,1212.4,116.84246031360001,185.57331932160002,240.55800652800005,278.3599789824,312.72540848640006,343.6542950400001,464.3976960000001,796.1103360000001,862.4528640000001,906.6812160000002,939.85248,1105.7087999999999
2011,1749.4,168.5946882816,267.7680343296,347.10671116800006,401.6520514944,451.23872451840003,495.8667302400001,670.0901760000002,1148.726016,1244.453184,1308.2712960000001,1356.13488,1595.4528
2012,1125.4,108.45802114560001,172.25685711360003,223.29592588800003,258.3852856704,290.28470365440006,318.9941798400001,431.0732160000001,738.982656,800.5645440000001,841.6191360000001,872.4100800000001,1026.3648
2013,1560.6,150.3994915584,238.8697807104,309.646012032,358.30467106559996,402.5398156416,442.35144576,597.772224,1024.752384,1110.148416,1167.079104,1209.77712,1423.2671999999998
2014,705.4,67.9814182656,107.9704878336,139.961743488,161.9557317504,181.95026653440001,199.94534784,270.196416,463.193856,501.793344,527.526336,546.8260799999999,643.3247999999999
2015,1417.4,136.5988974336,216.95119004160003,281.23302412800007,325.4267850624,365.6029313664,401.7614630400001,542.9208960000001,930.721536,1008.2816640000001,1059.9884160000001,1098.7684800000002,1292.6688
2016,1609.0,155.063938176,246.278019456,319.24928448000003,369.417029184,415.02406982400004,456.0704064,616.31136,1056.53376,1144.57824,1203.27456,1247.2968,1467.408
2017,1576.0,151.883633664,241.22694758400002,312.70159872000005,361.840421376,406.512078336,446.7165696,603.6710400000001,1034.86464,1121.10336,1178.5958400000002,1221.7152,1437.312
2018,1342.4,129.3709326336,205.47148124160003,266.351920128,308.2072218624,346.2574961664,380.50274304000004,514.1928960000001,881.4735360000001,954.929664,1003.9004160000002,1040.62848,1224.2688
2019,1409.0,135.789365376,215.66546265600002,279.56634048,323.49819398399995,363.43624262400004,399.38048640000005,539.7033600000001,925.20576,1002.30624,1053.70656,1092.2568,1285.0079999999998
2020,1441.4,138.9118461696,220.62469685760001,285.99497740800007,330.9370452864,371.79347063040007,408.5642534400001,552.113856,946.480896,1025.354304,1077.936576,1117.37328,1314.5568
2021,10.6,1.0215523584,1.6224655104,2.103196032,2.4336982656,2.7341548416,3.00456576,4.060224000000001,6.9603839999999995,7.540416,7.927104000000001,8.21712,9.6672
