i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,i_RP_200,i_RP_500,i_RP_1000,d
142.716052264931,162.98591386701185,180.21097056891927,205.8062093289411,227.55670016085548,251.60587698952256,278.1966748986837,317.70875506670455,351.28559119244306,5
115.2814542469874,131.65479898143425,145.56864787627683,166.24366164821555,183.81301123360203,203.23916571484497,224.71836026869474,256.6349526197591,283.75724500493794,10
97.6889338653259,111.56362517075208,123.35415187236967,140.87405623360743,155.76223613135937,172.22386330956908,190.42522648595644,217.47118890684746,240.45448526096166,15
85.32716066154929,97.44611792010234,107.74464536170751,123.04754237425159,136.05173914279098,150.43027570172245,166.3283982275745,189.95190489737877,210.02684422718121,20
76.10409942868843,86.91311171769762,96.09846548206094,109.74726366965189,121.34582942749648,134.17018180762972,148.3498672449085,169.41989566861562,187.32492341048723,25
68.92454922145204,78.71385499002216,87.0326758209754,99.39386621093294,109.89824012082845,121.51276172338666,134.35475623095206,153.4370687750744,169.65296220486886,30
63.15607824420872,72.1260920935539,79.74868963294725,91.0753405327799,100.70057665044034,111.34304937439566,123.1102646713086,140.59552990307512,155.45427393288878,35
58.40632337042666,66.70173283990398,73.75106061936046,84.2258724435133,93.12722713230505,102.96931550537906,113.85155836953204,130.02181598741825,143.76308417269024,40
54.418125391220926,62.14709387667964,68.71506770022143,78.47462095408736,86.76815849683345,95.93819297752817,106.07735638563007,121.1434495049931,133.9464134991135,45
51.01545919268764,58.261149365526606,64.41843975663573,73.56774593324617,81.34270368920083,89.93935262707276,99.4445326268502,113.56857040283894,125.57098839301965,50
48.07351372867621,54.9013614342524,60.70357489724243,69.32526140265743,76.65185503399219,84.75275478625066,93.70979268111562,107.01932933281472,118.32959518475802,55
45.50116977926169,51.96366926352644,57.45541470499903,65.61576727836312,72.55032551774065,80.21775788127972,88.69551767794756,101.2928803398539,111.99795028091121,60
